,num_teams,num_funded_teams,num_unfunded_teams
num_present_new_idea,-0.217055180681728,-0.38328263573207916,0.019995601451467837
num_provide_supporting_evidence,0.51106094702029,0.10948841306088315,0.6616373324320068
num_acknowledge_contribution,0.06025962576426886,-1.023049777235169,1.005909109584322
num_express_enthusiasm,-0.41110118254532463,-1.9261663973193466,0.901880879794506
num_expand_on_existing_idea,0.7358454657710922,0.3527411281856085,0.7673020739971878
num_explain_define_term,0.06363515084008983,0.2627193135276714,-0.14003685751874992
num_offer_constructive_criticism,0.22039153360146466,-1.1161445991287313,1.3803471974562778
num_express_agreement,0.0726103262595793,0.024010451623314836,0.08582821508457482
num_confirm_decision,-1.0195361380231527,-0.16396821336109782,-1.4093686918046409
num_propose_decision,0.5025503435501667,0.2594773533119247,0.5086914849595658
num_assign_task,-1.7117911366233014,-1.488561924598396,-1.0786263964168
elaboration_to_idea_ratio,1.5348152624861564,1.049854251101274,1.2343199803373024
decision_closure_ratio,-0.43413662626003924,0.6954897414497506,-1.350838412265716
criticism_to_agreement_ratio,0.21458133651990757,-0.6613244496545645,0.9326764450182059
num_resolve_conflict,-1.3901766860027196,-0.9684959969581863,-1.1166106476397186
num_reject_idea,-0.3736131997185171,0.24618298195866523,-0.791074087557612
net_positive_conflict_score,-0.47457899787624963,-0.8006407690254358,-6.158409296133417e-17
num_encourage_participation,0.2539490597533629,0.8682327066979083,-0.37662178857735473
leadership_action_count,-0.42499760578128626,-0.14943446445842473,-0.4948967010943447
num_express_humor,-0.04880371937557455,-1.2096414962536433,0.9813067629253165
num_express_frustration,0.0632962104427292,0.5305954499725111,-0.37662178857735473
engagement_positivity_score,-0.08610278743471192,-1.4428928578834614,1.107847328387477
avg_speaking_duration,3.684520376699665,2.3874921453542544,2.268048860536487
speaking_variance,3.910853111053376,2.0397372767076014,2.8125910683792323
participation_entropy,-0.1709167197119679,-0.34308830442810284,0.05257432414805643
avg_nods_per_utterance,0.6321009247300251,0.00180385841863142,0.9549034548559867
avg_gestures_per_utterance,,,
avg_eye_contact_per_utterance,,,
avg_distraction_per_utterance,3.3673072567286746,2.92127804265046,1.6873037686231027
avg_confusion_per_utterance,,,
avg_engagement_per_utterance,,,
gesture_count_ratio,1.459913826404649,2.216760976210815,0.3385777065051072
num_interruptions,,,
num_overlaps,0.9461461350621658,0.8114498760581775,0.6503441587311565
screenshare_count,0.2553547554316233,-0.16860985190855662,0.5339002222823214
screenshare_duration,0.8513041085702993,-0.0879255765471632,1.4168400741866676
avg_screenshare_segment_length,0.5621206245196795,-0.4385445866279648,1.3042398008537845
screenshare_content,0.159818389515751,-0.5089544865598645,0.701350222441928
screenshare_decision_overlap,-0.10362720327573421,0.5439093116845557,-0.6448922846714157
ideas_first_half,-0.5733334170927868,-0.6701453832901176,-0.24854711330970894
ideas_second_half,0.45089404766964114,0.31796959296182,0.37954923666004087
decision_lag,2.5399860686584557,1.7760751197049218,1.7666116550823212
burstiness_of_ideas,-0.6100966972989935,-0.6595674068151005,-0.30969424941792456
num_express_alternative_decision,0.0561036856563283,0.18585562766583208,-0.08290266722896783
conflict_resolution_latency,0.6198224930985713,0.27203439807070273,0.6711161707171032
idea_agree_decision_chain_duration,-1.0886074021934082,-0.08802970212224974,-1.6204116280416692
