alias_name,canonical_name,record_type,conferences,raw_names,source_files,notes
cheng liu,,output,2020NES,Cheng Liu,outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk4.json,
christopher gorski,,output,2020NES,Christopher Gorski,outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk3.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk4.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk5.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_11_11_38/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_11_11_38.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk8.json,
david gator kwab,,output,2020NES,David Gator Kwab,outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk3.json,
jarad mason,,output,2020NES,Jarad Mason,outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk8.json,
kelsey hazell,,truth,2020NES,Kelsey Hazell,analysis_v1/data/2020NES/2020NES_outcome.json,
lindsey seitz,,output,2020NES,Lindsey Seitz,outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_09_14_chunk2.json,
shaama mallikarjun sharada,,output,2020NES,Shaama Mallikarjun Sharada,outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_09_59_13/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_09_59_13.json,
shama m sharada,,output,2020NES,Shama M. Sharada,outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk4.json,
simona niguari,,output,2020NES,Simona Niguari,outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk8.json,
speaker 1,,output,2020NES,Speaker 1,outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_58_47/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_58_47.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_09_57_35/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_09_57_35.json | outputs/2020NES/output_2020_11_06_NES_S7/Zoom_Meeting_2020_11_06_12_11_46/Zoom_Meeting_2020_11_06_12_11_46.json,
