conference,alias_name,canonical_name,score,status
2020NES,cheng liu,chong liu,1.0,conference_pass2_auto
2020NES,david gator kwabi,david kwabi,1.0,conference_pass2_auto
2020NES,jarad mason,jared mason,1.0,conference_pass2_auto
2020NES,lindsey seitz,linsey seitz,1.0,conference_pass2_auto
2020NES,shaama m sharada,shaama sharada,1.0,conference_pass2_auto
2020NES,shaama mallikarjun sharada,shaama sharada,1.0,conference_pass2_auto
2020NES,shama m sharada,shaama sharada,1.0,conference_pass2_auto
2020NES,yuan yue liu,yuanyue liu,1.0,conference_pass2_auto
2020NES,christopher gorski,chris gorski,0.9475,conference_pass2_auto
2021ABI,brian spring,bryan spring,1.0,conference_pass2_auto
2021ABI,candice fleischer,candace fleischer,1.0,conference_pass2_auto
2021ABI,katherine white,katharine white,1.0,conference_pass2_auto
2021ABI,sijian you,sixian you,1.0,conference_pass2_auto
2021ABI,vivian liu,vivian qian liu,1.0,conference_pass2_auto
2021ABI,sihan you,sixian you,0.9866,conference_pass2_auto
2021ABI,holly bright,molly bright,0.9733,conference_pass2_auto
2021ABI,lulu wei,lu wei,0.9714,conference_pass2_auto
2021ABI,catherine white,katharine white,0.9567,conference_pass2_auto
2021ABI,uzi emir,uzay emir,0.9361,conference_pass2_auto
2021ABI,brad smith,barbara smith,0.9202,conference_pass2_auto
2021CMC,alexis c komor,alexis komor,1.0,conference_pass2_auto
2021CMC,cheeming tan,cheemeng tan,1.0,conference_pass2_auto
2021CMC,chemeng tan,cheemeng tan,1.0,conference_pass2_auto
2021CMC,kathy liu,kathy f liu,1.0,conference_pass2_auto
2021CMC,maisha kamenetska,maria kamenetska,1.0,conference_pass2_auto
2021CMC,beth childers,seth childers,0.9596,conference_pass2_auto
2021CMC,macha kamenetska,maria kamenetska,0.955,conference_pass2_auto
2021MND,michael d burton,michael burton,1.0,conference_pass2_auto
2021MND,zonggi xia,zongqi xia,1.0,conference_pass2_auto
2021MND,jay sung,jae sung,0.975,conference_pass2_auto
2021MND,pam chang,pamela chang,0.9714,conference_pass2_auto
2021MZT,danai schulz,danae schulz,1.0,conference_pass2_auto
2021MZT,giselle medina,gisselle medina,1.0,conference_pass2_auto
2021MZT,sara l zimmer,sara zimmer,1.0,conference_pass2_auto
2021MZT,yarling chang,yanling chang,1.0,conference_pass2_auto
2021MZT,arshad mehta,angad mehta,0.9202,conference_pass2_auto
2021NES,david gator kwabi,david kwabi,1.0,conference_pass2_auto
2021NES,grishma gadikota,greeshma gadikota,1.0,conference_pass2_auto
2021NES,shaama m sharada,shaama sharada,1.0,conference_pass2_auto
2021SLU,stylianos louca,stilianos louca,1.0,conference_pass2_auto
2021SLU,tyler robinson,tyler d robinson,1.0,conference_pass2_auto
2021SLU,gregory fournier,greg fournier,0.9975,conference_pass2_auto
2021SLU,gregory p fournier,greg fournier,0.9859,conference_pass2_auto
2021SLU,bradford james foley,brad foley,0.9333,conference_pass2_auto
2021SLU,nicolas cowan,nick cowan,0.9202,conference_pass2_auto
2021SLU,jen glass,jennifer b glass,0.9076,conference_pass2_auto
2022MND,jaejun sung,jaeyun sung,1.0,conference_pass2_auto
2022MND,kailong ye,kaixiong ye,1.0,conference_pass2_auto
2022MND,jae sung,jaeyun sung,0.9684,conference_pass2_auto
