conference,output_normalized_name,truth_normalized_name,score,last_name_exact,first_name_equiv,rank,output_occurrence_count,output_raw_names,truth_raw_names
2020NES,cheng liu,chong liu,1.0,True,True,1,6,Cheng Liu,Chong Liu
2020NES,cheng liu,leo liu,0.75,True,False,2,6,Cheng Liu,Leo Liu
2020NES,cheng liu,yuanyue liu,0.7,True,False,3,6,Cheng Liu,Yuanyue Liu
2020NES,christopher gorski,chris gorski,0.9475,True,True,1,34,Christopher Gorski,Chris Gorski
2020NES,david gator kwab,david kwabi,0.9426,False,True,1,9,David Gator Kwab,David Kwabi
2020NES,david gator kwab,david koweek,0.6643,False,True,2,9,David Gator Kwab,David Koweek
2020NES,david gator kwabi,david kwabi,1.0,True,True,1,21,David Gator Kwabi,David Kwabi
2020NES,jarad mason,jared mason,1.0,True,True,1,40,Jarad Mason,Jared Mason
2020NES,lindsey seitz,linsey seitz,1.0,True,True,1,4,Lindsey Seitz,Linsey Seitz
2020NES,shaama m sharada,shaama sharada,1.0,True,True,1,19,Shaama M Sharada,Shaama Sharada
2020NES,shaama mallikarjun sharada,shaama sharada,1.0,True,True,1,3,Shaama Mallikarjun Sharada,Shaama Sharada
2020NES,shama m sharada,shaama sharada,1.0,True,True,1,12,Shama M. Sharada,Shaama Sharada
2020NES,simona niguari,simona liguori,0.8786,False,True,1,18,Simona Niguari,Simona Liguori
2020NES,yuan yue liu,yuanyue liu,1.0,True,True,1,3,Yuan Yue Liu,Yuanyue Liu
2020NES,yuan yue liu,tianbiao leo liu,0.7643,True,False,2,3,Yuan Yue Liu,tianbiao leo liu
2020NES,yuan yue liu,chong liu,0.7119,True,False,3,3,Yuan Yue Liu,Chong Liu
2021ABI,brad smith,barbara smith,0.9202,True,True,1,229,Brad Smith,Barbara Smith
2021ABI,brian spring,bryan spring,1.0,True,True,1,25,Brian Spring,Bryan Spring
2021ABI,brian spring,brian pogue,0.6709,False,True,2,25,Brian Spring,brian pogue
2021ABI,candice fleischer,candace fleischer,1.0,True,True,1,9,Candice Fleischer,Candace Fleischer
2021ABI,catherine white,katharine white,0.9567,True,False,1,17,Catherine White,Katharine White
2021ABI,catherine white,chris whittley,0.744,False,True,2,17,Catherine White,chris whittley
2021ABI,holly bright,molly bright,0.9733,True,False,1,29,Holly Bright,Molly Bright
2021ABI,katherine white,katharine white,1.0,True,True,1,3,Katherine White,Katharine White
2021ABI,luke mortenser,luke mortensen,0.9802,False,True,1,18,Luke Mortenser,Luke Mortensen
2021ABI,lulu wei,lu wei,0.9714,True,True,1,13,Lulu Wei,Lu Wei
2021ABI,mark seilmeyer,mark sellmyer,0.9395,False,True,1,33,Mark Seilmeyer,Mark Sellmyer
2021ABI,shannon quine,shannon quinn,0.9346,False,True,1,27,Shannon Quine,Shannon Quinn
2021ABI,sihan you,sixian you,0.9866,True,True,1,22,Sihan You,Sixian You
2021ABI,sijian you,sixian you,1.0,True,True,1,28,Sijian You,Sixian You
2021ABI,uzi emir,uzay emir,0.9361,True,True,1,18,Uzi Emir,Uzay Emir
2021ABI,vivian liu,vivian qian liu,1.0,True,True,1,20,Vivian Liu,Vivian Qian Liu
2021ABI,wenjing wang,ping wang,0.866,True,False,1,22,Wenjing Wang,Ping Wang
2021ABI,yeigenia kozorovsky,yevgenia kozorovitskiy,0.9229,False,True,1,20,Yeigenia Kozorovsky,Yevgenia Kozorovitskiy
2021ABI,yevgenia kozoravitskiy,yevgenia kozorovitskiy,1.0,False,True,1,29,Yevgenia Kozoravitskiy,Yevgenia Kozorovitskiy
2021ABI,yevgenia kozorovitksy,yevgenia kozorovitskiy,0.976,False,True,1,16,Yevgenia Kozorovitksy,Yevgenia Kozorovitskiy
2021ABI,yevgenia kozorovsky,yevgenia kozorovitskiy,0.9701,False,True,1,8,Yevgenia Kozorovsky,Yevgenia Kozorovitskiy
2021CMC,alexis c komor,alexis komor,1.0,True,True,1,17,Alexis C Komor,Alexis Komor
2021CMC,beth childers,seth childers,0.9596,True,False,1,12,Beth Childers,Seth Childers
2021CMC,cheeming tan,cheemeng tan,1.0,True,True,1,16,Cheeming Tan,Cheemeng Tan
2021CMC,chemeng tan,cheemeng tan,1.0,True,True,1,19,Chemeng Tan,Cheemeng Tan
2021CMC,kathy liu,kathy f liu,1.0,True,True,1,52,Kathy Liu,Kathy F. Liu
2021CMC,kathy liu,gang yu liu,0.7367,True,False,2,52,Kathy Liu,gang yu liu
2021CMC,macha kamenetska,maria kamenetska,0.955,True,True,1,24,Macha Kamenetska,Maria (Masha) Kamenetska
2021CMC,maisha kamenetska,maria kamenetska,1.0,True,True,1,1,Maisha Kamenetska,Maria (Masha) Kamenetska
2021MND,elizabeth bese,elizabeth bess,0.9107,False,True,1,37,Elizabeth Bese,Elizabeth Bess
2021MND,elizabeth bross,elizabeth bess,0.8626,False,True,1,23,Elizabeth Bross,Elizabeth Bess
2021MND,elizabeth weiss,elizabeth bess,0.8626,False,True,1,12,Elizabeth Weiss,Elizabeth Bess
2021MND,flavio fritch,flavio frohlich,0.8786,False,True,1,21,Flavio Fritch,Flavio Frohlich
2021MND,jay sung,jae sung,0.975,True,True,1,12,Jay Sung,Jae Sung
2021MND,michael d burton,michael burton,1.0,True,True,1,19,Michael D. Burton,Michael Burton
2021MND,pam chang,pamela chang,0.9714,True,True,1,25,Pam Chang,Pamela Chang
2021MND,stephanie collonga,stephanie cologna,0.9329,False,True,1,27,Stephanie Collonga,Stephanie Cologna
2021MND,zonggi xia,zongqi xia,1.0,True,True,1,30,Zonggi Xia,Zongqi Xia
2021MZT,arshad mehta,angad mehta,0.9202,True,True,1,3,Arshad Mehta,Angad Mehta
2021MZT,danai schulz,danae schulz,1.0,True,True,1,15,Danai Schulz,Danae Schulz
2021MZT,giselle medina,gisselle medina,1.0,True,True,1,27,Giselle Medina,Gisselle Medina
2021MZT,justin bah,justin bahl,0.969,False,True,1,3,Justin Bah,Justin Bahl
2021MZT,nicole eklmeier,nicole eikmeier,0.9742,False,True,1,6,Nicole Eklmeier,Nicole Eikmeier
2021MZT,paola boggatto,paola m boggiatto,1.0,False,True,1,29,Paola Boggatto,Paola M. Boggiatto
2021MZT,sara l zimmer,sara zimmer,1.0,True,True,1,22,Sara L Zimmer | Sara L. Zimmer,Sara Zimmer
2021MZT,yarling chang,yanling chang,1.0,True,True,1,9,Yarling Chang,Yanling Chang
2021NES,david gator kwabi,david kwabi,1.0,True,True,1,44,David Gator Kwabi,David  Kwabi
2021NES,grishma gadikota,greeshma gadikota,1.0,True,True,1,5,Grishma Gadikota,Greeshma Gadikota
2021NES,marcel schriber,marcel schreier,0.9742,False,True,1,30,Marcel Schriber,Marcel Schreier
2021NES,shaama m sharada,shaama sharada,1.0,True,True,1,45,Shaama M Sharada | Shaama M. Sharada,Shaama Sharada
2021SLU,bradford james foley,brad foley,0.9333,True,True,1,50,Bradford James Foley,Brad Foley
2021SLU,gregory fournier,greg fournier,0.9975,True,True,1,21,Gregory Fournier,Greg Fournier
2021SLU,gregory p fournier,greg fournier,0.9859,True,True,1,30,Gregory P. Fournier,Greg Fournier
2021SLU,jen glass,jennifer b glass,0.9076,True,True,1,35,Jen Glass,Jennifer B. Glass
2021SLU,nicolas cowan,nick cowan,0.9202,True,True,1,90,Nicolas Cowan,Nick Cowan
2021SLU,stylianos louca,stilianos louca,1.0,True,True,1,29,Stylianos Louca,Stilianos Louca
2021SLU,tyler robinson,tyler d robinson,1.0,True,True,1,21,Tyler Robinson,Tyler D. Robinson
2022MND,elizabeth weiss,elizabeth bess,0.8626,False,True,1,20,Elizabeth Weiss,Elizabeth Bess
2022MND,jae sung,jaeyun sung,0.9684,True,True,1,40,Jae Sung,Jaeyun Sung
2022MND,jaejun sung,jaeyun sung,1.0,True,True,1,47,Jaejun (Jae) Sung,Jaeyun Sung
2022MND,kailong ye,kaixiong ye,1.0,True,True,1,32,Kailong (Calvin) Ye,Kaixiong Ye
