feature,n_non_missing,mean,std,min,max,skew,iqr_lower_bound,iqr_upper_bound,suggested_transform
session_mean_explore_vs_defend_ratio,162,104837.06720756422,122470.86304566485,0.0,500000.0,0.9996801541005363,-214285.82142851787,357143.03571419645,none
session_mean_funding_awareness,162,0.2325433568489124,0.1986982254352193,0.0,1.0,0.9988349563903295,-0.21354166666666669,0.6614583333333333,none
session_middle_num_Participation_Dynamics,157,1.442647356182388,1.1189493307723704,0.0,5.25,0.9843681889764436,-1.5714285714285714,4.142857142857142,none
session_middle_pct_hesitation,157,0.06239382922844824,0.06277857910759568,0.0,0.2490132416603005,0.9826440836368141,-0.1367578255078255,0.22792970917970917,none
session_middle_is_convergent,157,0.1863006773834799,0.1806310840989206,0.0,0.8333333333333334,0.9808897139739177,-0.42857142857142855,0.7142857142857142,none
session_beginning_laughter_shared_humor,160,0.28552083333333333,0.4456644231255534,0.0,1.0,0.9695622627976903,-1.5,2.5,none
session_mean_pronoun_shift_occurred,162,0.16233454474195216,0.09870444692433186,0.0,0.5,0.9687450070898708,-0.020833333333333315,0.3680555555555555,none
session_mean_pct_high_enthusiasm,162,0.17367489223294744,0.10652617130930625,0.0,0.6068376068376068,0.9677385182688713,-0.12161635197381596,0.45335568967361634,none
session_mean_pct_hesitation,162,0.060539447321545176,0.05872207660059205,0.0,0.2551604324290349,0.9251513018810875,-0.14126905042576,0.23544841737626665,none
session_end_num_Information_Seeking,161,1.4337474120082816,1.5600524723085785,0.0,6.0,0.9172849415297445,-3.0,5.0,none
session_middle_personal_disclosure,157,0.3186735416034779,0.23480676254516542,0.0,1.0,0.9125747897110041,-0.22619047619047614,0.8214285714285714,none
session_middle_funding_awareness,157,0.23352037205540394,0.22296021383635317,0.0,1.0,0.8957694672880847,-0.6000000000000001,1.0,none
session_delta_laughter_appreciative,159,0.0440251572327044,0.3393200936363576,-1.0,1.0,0.8750712033532225,0.0,0.0,none
session_mean_personal_disclosure,162,0.29488792243421874,0.20197890321247378,0.0,1.0,0.8719661723146348,-0.20535714285714285,0.7232142857142857,none
session_end_is_convergent,161,0.30848861283643897,0.4572757419870421,0.0,1.0,0.8399519359858432,-1.5,2.5,none
convergence_ratio_end,161,0.30848861283643897,0.4572757419870421,0.0,1.0,0.8399519359858432,-1.5,2.5,none
session_end_total_quality_score,161,6.473395445134575,6.076985094875603,0.0,29.0,0.8354841306867401,-14.0,26.0,none
session_delta_num_joint_framing,159,1.2163522012578616,5.775960009860415,-15.0,23.0,0.8291982542667204,-7.0,9.0,none
session_mean_num_setback_explores,162,0.11256090445905262,0.12571691560736514,0.0,0.5,0.8261496920996855,-0.3333333333333333,0.5555555555555556,none
session_delta_is_convergent,159,0.31236897274633124,0.4588334970843866,0.0,1.0,0.8202847518679564,-1.5,2.5,none
session_delta_commitment_signal,159,0.03039832285115304,0.30689185567582444,-1.0,1.0,0.8058435219040547,0.0,0.0,none
session_middle_num_Information_Seeking,157,2.9514331210191083,1.3044942670015525,0.0,7.0,0.7650765946199496,-0.40000000000000036,6.0,none
session_delta_pct_high_quality_Knowledge_Sharing,106,0.14996709091048713,0.32803714315986426,-0.8333333333333334,1.0,0.7632985357032936,-0.5,0.8333333333333333,none
session_mean_screenshare_active,162,0.3251358380988011,0.2525431728851705,0.0,1.0,0.7548692430060748,-0.4375,1.0625,none
session_mean_explicit_complementarity,162,0.31064614397947726,0.2880725747928509,0.0,1.0,0.7406757017902336,-0.5000000000000001,1.1,none
session_mean_num_Coordination_Decision,162,2.6823854728947323,1.1979240759582985,0.0,7.25,0.7298374720507145,-0.20634920634920606,5.3809523809523805,none
session_beginning_num_Participation_Dynamics,160,4.987291666666667,4.883370535093448,0.0,23.0,0.7016175575190915,-13.5,22.5,none
session_end_pct_high_quality_Integration_Practices,81,0.34216637272192824,0.41864423835318504,0.0,1.0,0.6876896307741006,-1.125,1.875,none
session_mean_is_convergent,162,0.176144268968343,0.15042131374790912,0.0,0.625,0.6722110418267768,-0.375,0.625,none
session_delta_num_Future_Oriented_Language,159,0.06362683438155137,0.5131048293613069,-2.0,2.0,0.6663488794278711,0.0,0.0,none
session_delta_num_future_oriented,159,0.06362683438155137,0.5131048293613069,-2.0,2.0,0.6663488794278711,0.0,0.0,none
any_commitment_signal,162,0.345679012345679,0.4770638413769472,0.0,1.0,0.6550485970557581,-1.5,2.5,none
session_delta_num_individual_framing,159,-5.467400419287212,4.737974764929433,-16.0,9.0,0.6460433207493829,-19.5,8.5,none
session_delta_num_Relational_Climate,159,1.2437106918238994,3.7041371172734516,-12.0,14.0,0.6353637276285033,-7.0,9.0,none
session_middle_num_individual_framing,157,4.257885956930543,2.243031498672096,0.8,10.0,0.6305960754091436,-1.5833333333333335,9.75,none
session_end_mean_idea_quality_Integration_Practices,81,1.3349647266313933,0.4270486523352172,0.6666666666666666,2.0,0.6280482668347427,-0.125,2.875,none
session_delta_num_Pronoun_Framing,159,-3.5039832285115304,8.164129559214047,-26.0,24.0,0.6238769043799954,-24.0,16.0,none
session_middle_responsiveness_index,157,0.049555595288725385,0.4096076703596341,-0.8604649237120855,1.7375009532168384,0.6125279816633431,-0.9701122710028388,1.0366270286030967,none
session_middle_pronoun_shift_occurred,157,0.16011020119300373,0.11995569743530672,0.0,0.5,0.5893289817923332,-0.09166666666666669,0.375,none
session_middle_building_blocking_ratio,157,3803172.9061679193,3036276.275528998,4.049601696122118,13200004.89999595,0.5891449340050721,-5416638.625028605,12583317.708349897,none
session_delta_total_quality_score,159,-4.3169811320754725,7.685180469294999,-19.0,23.0,0.5739710760118346,-25.75,16.25,none
session_end_ambition_level_ordinal,161,1.0684265010351968,1.3137277359415818,0.0,3.0,0.5666313227558336,-4.5,7.5,none
session_delta_problem_specificity_level,53,0.7657232704402516,1.138048332637133,-1.0,3.0,0.5646045650848285,-3.0,5.0,none
problem_specificity_delta,53,0.7657232704402516,1.138048332637133,-1.0,3.0,0.5646045650848285,-3.0,5.0,none
session_middle_artifact_interaction,157,0.22606409867556365,0.16157800911585896,0.0,0.8,0.5634526149825276,-0.08333333333333334,0.5833333333333333,none
session_end_building_count,161,6.978778467908902,6.087957143335442,0.0,25.0,0.5606276525460199,-14.0,26.0,none
session_middle_prior_relationship,157,0.23369224547568496,0.18692571446493408,0.0,0.8,0.5598390861773562,-0.1875,0.6458333333333333,none
session_middle_num_Idea_Management,157,4.3512637751491265,2.1134301173962875,0.0,10.5,0.5586706238786712,-1.9583333333333335,10.375,none
session_middle_explicit_complementarity,157,0.35807552320291175,0.3346502788160275,0.0,1.0,0.5526436355295041,-1.0,1.6666666666666665,none
session_mean_num_Participation_Dynamics,162,1.8213973954714693,1.2852884463504148,0.0,6.285714285714286,0.5500613270103982,-2.5235389610389607,5.8725649350649345,none
session_middle_decision_crystallization_level,157,1.7958851481144473,0.5510561560751175,1.0,3.5,0.5195646943158057,0.08333333333333326,3.4166666666666665,none
session_delta_pct_high_enthusiasm,149,0.06634485069990798,0.19885625086293382,-0.5384615384615384,0.8696969696969697,0.5155366105917131,-0.2716299669390556,0.44123884972865074,none
session_mean_skill_gap_identified,162,0.30943217447847077,0.20924917362872367,0.0,1.0,0.5100651494623898,-0.3303571428571428,0.8839285714285714,none
session_mean_building_blocking_ratio,162,4323972.837489489,2603663.19189903,0.0,11250004.999995,0.499401461094055,-3513385.822548234,11879468.73994958,none
session_end_cross_disciplinary_bridging,161,0.3832298136645963,0.47520279623549616,0.0,1.0,0.49274669433421797,-1.5,2.5,none
session_mean_num_Information_Seeking,162,2.508761334687261,1.1010767382312319,0.0,6.0,0.48246976017819265,-0.5937500000000004,5.55625,none
session_middle_num_Knowledge_Sharing,157,5.390946314831666,1.9477106603716317,0.0,11.5,0.46764059421051074,0.31249999999999956,10.479166666666668,none
session_end_mean_idea_quality_Idea_Management,81,1.3848311153866708,0.36880521883464173,1.0,2.0,0.43651659342952126,0.0,2.666666666666667,none
