conference,session_group,old_num_teams,new_num_teams,old_num_funded_teams,new_num_funded_teams,old_has_teams,new_has_teams,old_has_funded_teams,new_has_funded_teams,missing_in_old
2020NES,2020_11_05_NES_S1,1.0,1,0.0,0,True,True,False,False,False
2020NES,2020_11_05_NES_S2,3.0,3,0.0,0,True,True,False,False,False
2020NES,2020_11_05_NES_S3,3.0,3,1.0,1,True,True,True,True,False
2020NES,2020_11_05_NES_S4,1.0,3,1.0,2,True,True,True,True,False
2020NES,2020_11_05_NES_S5,1.0,4,1.0,2,True,True,True,True,False
2020NES,2020_11_05_NES_S6,2.0,3,0.0,0,True,True,False,False,False
2020NES,2020_11_06_NES_S1,2.0,2,1.0,1,True,True,True,True,False
2020NES,2020_11_06_NES_S10,0.0,0,0.0,0,False,False,False,False,False
2020NES,2020_11_06_NES_S11,3.0,3,1.0,1,True,True,True,True,False
2020NES,2020_11_06_NES_S12,2.0,2,1.0,1,True,True,True,True,False
2020NES,2020_11_06_NES_S2,2.0,3,0.0,0,True,True,False,False,False
2020NES,2020_11_06_NES_S3,3.0,3,2.0,2,True,True,True,True,False
2020NES,2020_11_06_NES_S4,2.0,2,0.0,0,True,True,False,False,False
2020NES,2020_11_06_NES_S6,,2,,0,,True,,False,True
2020NES,2020_11_06_NES_S7,2.0,2,0.0,0,True,True,False,False,False
2020NES,2020_11_06_NES_S8,2.0,3,0.0,0,True,True,False,False,False
2020NES,2020_11_06_NES_S9,2.0,2,2.0,2,True,True,True,True,False
2021ABI,2021_05_20_ABI_S1,0.0,0,0.0,0,False,False,False,False,False
2021ABI,2021_05_20_ABI_S2,1.0,1,0.0,0,True,True,False,False,False
2021ABI,2021_05_20_ABI_S3,1.0,1,1.0,1,True,True,True,True,False
2021ABI,2021_05_20_ABI_S4,2.0,2,2.0,2,True,True,True,True,False
2021ABI,2021_05_20_ABI_S5,1.0,1,0.0,0,True,True,False,False,False
2021ABI,2021_05_20_ABI_S6,2.0,2,1.0,1,True,True,True,True,False
2021ABI,2021_05_20_ABI_S7,1.0,1,1.0,1,True,True,True,True,False
2021ABI,2021_05_20_ABI_S8,1.0,0,0.0,0,True,False,False,False,False
2021ABI,2021_05_21_ABI_S1,0.0,0,0.0,0,False,False,False,False,False
2021ABI,2021_05_21_ABI_S10,0.0,0,0.0,0,False,False,False,False,False
2021ABI,2021_05_21_ABI_S11,2.0,2,1.0,1,True,True,True,True,False
2021ABI,2021_05_21_ABI_S12,3.0,3,1.0,1,True,True,True,True,False
2021ABI,2021_05_21_ABI_S13,2.0,2,1.0,1,True,True,True,True,False
2021ABI,2021_05_21_ABI_S14,3.0,3,0.0,0,True,True,False,False,False
2021ABI,2021_05_21_ABI_S15,2.0,2,1.0,1,True,True,True,True,False
2021ABI,2021_05_21_ABI_S16,0.0,0,0.0,0,False,False,False,False,False
2021ABI,2021_05_21_ABI_S2,3.0,0,1.0,0,True,False,True,False,False
2021ABI,2021_05_21_ABI_S3,1.0,1,0.0,0,True,True,False,False,False
2021ABI,2021_05_21_ABI_S4,2.0,2,0.0,0,True,True,False,False,False
2021ABI,2021_05_21_ABI_S5,0.0,0,0.0,0,False,False,False,False,False
2021ABI,2021_05_21_ABI_S6,0.0,0,0.0,0,False,False,False,False,False
2021ABI,2021_05_21_ABI_S7,3.0,3,1.0,1,True,True,True,True,False
2021ABI,2021_05_21_ABI_S8,2.0,3,0.0,0,True,True,False,False,False
2021ABI,2021_05_21_ABI_S9,3.0,2,0.0,0,True,True,False,False,False
2021CMC,2021_10_07_CMC_S1,2.0,1,1.0,1,True,True,True,True,False
2021CMC,2021_10_07_CMC_S2,1.0,1,1.0,1,True,True,True,True,False
2021CMC,2021_10_07_CMC_S3,3.0,3,2.0,2,True,True,True,True,False
2021CMC,2021_10_07_CMC_S4,1.0,1,1.0,1,True,True,True,True,False
2021CMC,2021_10_07_CMC_S5,2.0,1,1.0,1,True,True,True,True,False
2021CMC,2021_10_07_CMC_S6,0.0,0,0.0,0,False,False,False,False,False
2021CMC,2021_10_07_CMC_S7,0.0,0,0.0,0,False,False,False,False,False
2021CMC,2021_10_08_CMC_S1,3.0,3,2.0,2,True,True,True,True,False
2021CMC,2021_10_08_CMC_S10,0.0,0,0.0,0,False,False,False,False,False
2021CMC,2021_10_08_CMC_S11,1.0,1,0.0,0,True,True,False,False,False
2021CMC,2021_10_08_CMC_S12,1.0,1,0.0,0,True,True,False,False,False
2021CMC,2021_10_08_CMC_S13,3.0,2,1.0,1,True,True,True,True,False
2021CMC,2021_10_08_CMC_S14,2.0,2,1.0,1,True,True,True,True,False
2021CMC,2021_10_08_CMC_S2,1.0,1,0.0,0,True,True,False,False,False
2021CMC,2021_10_08_CMC_S3,1.0,1,1.0,1,True,True,True,True,False
2021CMC,2021_10_08_CMC_S4,1.0,1,1.0,1,True,True,True,True,False
2021CMC,2021_10_08_CMC_S5,3.0,3,2.0,2,True,True,True,True,False
2021CMC,2021_10_08_CMC_S6,2.0,2,0.0,0,True,True,False,False,False
2021CMC,2021_10_08_CMC_S7,2.0,2,0.0,0,True,True,False,False,False
2021CMC,2021_10_08_CMC_S8,1.0,0,0.0,0,True,False,False,False,False
2021CMC,2021_10_08_CMC_S9,2.0,2,0.0,0,True,True,False,False,False
2021MND,2021_04_22_MND_S1,1.0,1,1.0,1,True,True,True,True,False
2021MND,2021_04_22_MND_S2,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_22_MND_S3,1.0,1,0.0,0,True,True,False,False,False
2021MND,2021_04_22_MND_S4,1.0,1,1.0,1,True,True,True,True,False
2021MND,2021_04_22_MND_S5,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_22_MND_S6,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_22_MND_S7,2.0,2,0.0,0,True,True,False,False,False
2021MND,2021_04_22_MND_S8,1.0,3,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S1,2.0,3,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S10,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_23_MND_S11,3.0,3,1.0,1,True,True,True,True,False
