feature,coef,pvalue,stars,feature_label
n_sessions_attended,0.5201156342086262,0.00015677583966572226,***,N Sessions Attended
speaking_minutes_total,0.3128968294499139,0.4943286936590203,,Speaking Minutes Total
is_facilitator,-11.483936841773103,0.9999623059097145,,Is Facilitator
codename__relational_climate,-0.7591298778675417,0.013735950723726355,*,Relational Climate
codename__evaluation_practices,0.07249111621207285,0.8174927302681012,,Evaluation Practices
codename__complementarity_articulation,0.2597838573025254,0.09935089132016252,,Complementarity Articulation
codename__idea_novelty_signal,0.08854904972918733,0.6758738366023983,,Idea Novelty Signal
codename__broader_significance,-0.1969152956198592,0.35584426963519333,,Broader Significance
codename__information_seeking,0.3702074340539586,0.21507251201949462,,Information Seeking
codename__epistemic_bridging,0.39531646107873,0.031782215245418584,*,Epistemic Bridging
codename__idea_ownership_and_attribution,-0.08476816299893951,0.5564910270638076,,Idea Ownership & Attribution
codename__role_anticipation,0.24845001328498303,0.1196874519716504,,Role Anticipation
codename__idea_management,1.0957549931978334,0.0004048016838961161,***,Idea Management
codename__coordination_and_decision_practices,-0.9837339896307405,0.012554140667753913,*,Coordination & Decision
codename__knowledge_sharing,0.19933107391198246,0.5651065189115105,,Knowledge Sharing
codename__participation_dynamics,-1.6398329447319788,0.03436358754321317,*,Participation Dynamics
codename__integration_practices,0.3272000528178335,0.3323023473167882,,Integration Practices
codename__future_oriented_language,0.10100243281321385,0.6552626944972706,,Future-Oriented Language
codename__pronoun_framing,0.23064976683598887,0.7308969292731673,,Pronoun Framing
