feature,coef,pvalue,stars
n_sessions_attended,0.6805130291296835,0.00025848130803351186,***
speaking_minutes_total,0.5146465681923544,0.299538630414925,
subcode__ambiguous,-0.48111175723084193,0.12840019866351673,
subcode__asks_clarifying_question,0.021127872004376186,0.9233206140754376,
subcode__asks_factual_question,0.22234118910311615,0.28855113467359716,
subcode__asks_for_elaboration,-0.0017804816497333728,0.9906585057068825,
subcode__asks_for_opinion,0.36244039530778144,0.07126750018915809,
subcode__asks_rhetorical_question,-0.04999832714454503,0.7551489179205979,
subcode__attributes_to_other,-0.09613147458937496,0.5683612226505862,
subcode__calls_for_decision,-0.3148014210573305,0.23513850652761203,
subcode__checks_consensus,0.6416147996595661,0.0315945548397492,*
subcode__combines_ideas,0.45507159757803833,0.03377981187854256,*
subcode__compares_options,0.08399880340226308,0.595960463923037,
subcode__connects_methods,0.32184464790226763,0.07545873354340998,
subcode__critiques_or_challenges,0.3129557951272444,0.14663886966977063,
subcode__devil_advocate,0.09955372387724258,0.5278338849742681,
subcode__encourages_participation,-0.43505876288181705,0.3061805420179352,
subcode__expertise_complementarity,0.20027389614846494,0.24575882098960278,
subcode__explicit_role_assignment,0.3322737330484713,0.06478210544392639,
subcode__expresses_appreciation,-0.5427578804539124,0.009318011841512862,**
subcode__expresses_enthusiasm,0.16231423816922452,0.3041066608846844,
subcode__extends_existing_idea,0.6239736757477348,0.0341150880828737,*
subcode__field_significance,0.16179623905293686,0.3535917226051781,
subcode__frames_shared_problem,0.10524105988779343,0.5931485855499061,
subcode__funding_priority_alignment,-0.26924582039939043,0.1560773593446227,
subcode__identifies_common_ground,0.5053526074439455,0.005452832430970516,**
subcode__implicit_role_suggestion,-0.16603042760678888,0.23409594891964136,
subcode__individual_framing,0.5537873502848173,0.15879422472458316,
subcode__invites_contribution,-0.8840020956601014,0.3524574998587685,
subcode__joint_framing,0.22323017701827863,0.5495389462995561,
subcode__manages_tension,0.004513063361276242,0.982882537012046,
subcode__method_complementarity,0.10828649247784199,0.4150418505212333,
subcode__proposes_new_idea,0.057317084866909396,0.7885511447418379,
subcode__proposes_next_step,-0.205734153015289,0.21584220253147235,
subcode__proposes_process,-1.0879741227052573,0.006202932634369715,**
subcode__raises_concern,0.1456316107512652,0.41463492718388384,
subcode__records_or_documents,0.3660634475299334,0.09695804737786155,
subcode__redirects_idea,-0.19378647003841018,0.3016927367528358,
subcode__redirects_speaker,0.19722446029538226,0.457494212618044,
subcode__reframes_cross_disciplinarily,0.3841552349509581,0.04519122079966675,*
subcode__resolves_contradiction,0.09092311309236571,0.6359584329309008,
subcode__returns_to_earlier_idea,0.308585331172531,0.1366906660028523,
subcode__scope_calibration,-0.09176257921200709,0.5887535809144766,
subcode__setback_response_accepts_builds,-0.23975230968592845,0.20803284561821722,
subcode__setback_response_defends,0.05659540431607347,0.7467097868976313,
subcode__setback_response_explores,-0.237672129285227,0.08933444651797189,
subcode__shares_data_or_findings,-0.09347675317420785,0.5762721784356393,
subcode__shares_domain_knowledge,0.15701086898790248,0.6510086840738143,
subcode__shares_method_or_approach,-0.06177950618476366,0.7449044562884315,
subcode__shares_personal_experience,-0.33268782394139634,0.07057746423564044,
subcode__societal_significance,-0.06436963308242005,0.6053372256404217,
subcode__specific_future_plan,-0.18715492049352428,0.3229602340560451,
subcode__summarizes_for_group,-0.6530715252719576,0.01970295049894873,*
subcode__supports_or_validates,0.01782085975012484,0.9448981114212679,
subcode__synthesizes_contributions,-0.2532658112963443,0.321032788516344,
subcode__translates_terminology,-0.24279620289911813,0.14637948721092942,
subcode__uses_humor,-0.3563513466841991,0.08345656139513606,
subcode__vague_future_reference,0.12879402271570312,0.41424896937413425,
subcode__yields_floor,0.053854069393147116,0.7995018134428613,
