feature,coef,pvalue,sample,stage,stars,abs_coef
const,-1.6736290094836603,0.1717030914034018,all_rows,funded_glm_binomial_fallback_with_imr,,1.6736290094836603
imr_selection,0.26758114629009744,0.7618689594452988,all_rows,funded_glm_binomial_fallback_with_imr,,0.26758114629009744
n_sessions_attended,0.24010823631355152,0.17484475923731646,all_rows,funded_glm_binomial_fallback_with_imr,,0.24010823631355152
subcode__invites_contribution,-0.17926241763367518,0.29772276224497285,all_rows,funded_glm_binomial_fallback_with_imr,,0.17926241763367518
subcode__proposes_process,-0.10481823273865527,0.291460171015948,all_rows,funded_glm_binomial_fallback_with_imr,,0.10481823273865527
subcode__shares_method_or_approach,0.08075690184897298,0.19106595236556778,all_rows,funded_glm_binomial_fallback_with_imr,,0.08075690184897298
subcode__extends_existing_idea,0.062273840677600695,0.23258737532088325,all_rows,funded_glm_binomial_fallback_with_imr,,0.062273840677600695
subcode__asks_factual_question,0.05757650566484966,0.44708706322036385,all_rows,funded_glm_binomial_fallback_with_imr,,0.05757650566484966
subcode__synthesizes_contributions,0.055292590519456244,0.4891874365060698,all_rows,funded_glm_binomial_fallback_with_imr,,0.055292590519456244
subcode__asks_clarifying_question,0.051865115134138745,0.44532087459067515,all_rows,funded_glm_binomial_fallback_with_imr,,0.051865115134138745
subcode__individual_framing,0.0492140957714223,0.22789942271701635,all_rows,funded_glm_binomial_fallback_with_imr,,0.0492140957714223
subcode__shares_domain_knowledge,0.04444792377752772,0.27882545328466024,all_rows,funded_glm_binomial_fallback_with_imr,,0.04444792377752772
speaking_minutes_total,-0.038507448043642284,0.19502901833010666,all_rows,funded_glm_binomial_fallback_with_imr,,0.038507448043642284
subcode__uses_humor,0.02894467896543667,0.7268336016365367,all_rows,funded_glm_binomial_fallback_with_imr,,0.02894467896543667
subcode__proposes_new_idea,0.02364309617212285,0.75538862100309,all_rows,funded_glm_binomial_fallback_with_imr,,0.02364309617212285
subcode__joint_framing,-0.02022014615462641,0.5380153760608826,all_rows,funded_glm_binomial_fallback_with_imr,,0.02022014615462641
subcode__supports_or_validates,-0.015937056628294297,0.7781232651452538,all_rows,funded_glm_binomial_fallback_with_imr,,0.015937056628294297
subcode__ambiguous,-0.012645516918675404,0.7210389755214273,all_rows,funded_glm_binomial_fallback_with_imr,,0.012645516918675404
is_facilitator,2.9686784751220437e-15,0.23559193888947239,all_rows,funded_glm_binomial_fallback_with_imr,,2.9686784751220437e-15
const,-1.5649369186668627,0.21979673694216006,non_facilitator_only,funded_logit_with_imr,,1.5649369186668627
n_sessions_attended,0.22209299036933272,0.22655542251077598,non_facilitator_only,funded_logit_with_imr,,0.22209299036933272
imr_selection,0.20768476175765216,0.8212421282178638,non_facilitator_only,funded_logit_with_imr,,0.20768476175765216
subcode__invites_contribution,-0.19869687975885658,0.252396822311324,non_facilitator_only,funded_logit_with_imr,,0.19869687975885658
subcode__proposes_process,-0.10317143732832469,0.31402964548655565,non_facilitator_only,funded_logit_with_imr,,0.10317143732832469
subcode__shares_method_or_approach,0.07072681374136221,0.2533170122262638,non_facilitator_only,funded_logit_with_imr,,0.07072681374136221
subcode__raises_concern,-0.07071379640099729,0.3978614609783694,non_facilitator_only,funded_logit_with_imr,,0.07071379640099729
subcode__individual_framing,0.058092628072533285,0.15135373967874483,non_facilitator_only,funded_logit_with_imr,,0.058092628072533285
subcode__extends_existing_idea,0.057946510963809136,0.2736478835434032,non_facilitator_only,funded_logit_with_imr,,0.057946510963809136
subcode__asks_factual_question,0.050838706853210326,0.5022611992024333,non_facilitator_only,funded_logit_with_imr,,0.050838706853210326
subcode__asks_clarifying_question,0.04981078058818431,0.47256792890358523,non_facilitator_only,funded_logit_with_imr,,0.04981078058818431
subcode__synthesizes_contributions,0.046138218550976176,0.5671630107329736,non_facilitator_only,funded_logit_with_imr,,0.046138218550976176
subcode__shares_domain_knowledge,0.038201470643081964,0.35387177901519773,non_facilitator_only,funded_logit_with_imr,,0.038201470643081964
speaking_minutes_total,-0.033431270421624706,0.26254673102740245,non_facilitator_only,funded_logit_with_imr,,0.033431270421624706
subcode__supports_or_validates,-0.01635824915823456,0.7712622572651334,non_facilitator_only,funded_logit_with_imr,,0.01635824915823456
subcode__joint_framing,-0.013990661130145028,0.6729446197980566,non_facilitator_only,funded_logit_with_imr,,0.013990661130145028
subcode__proposes_new_idea,0.013049414077447908,0.8674386418764451,non_facilitator_only,funded_logit_with_imr,,0.013049414077447908
subcode__ambiguous,-0.0035893215408398815,0.9220848278125996,non_facilitator_only,funded_logit_with_imr,,0.0035893215408398815
