feature,coef,abs_coef,label
subcode__checks_consensus,0.6657455391360956,0.6657455391360956,Checks Consensus
subcode__invites_contribution,-0.5749606218552334,0.5749606218552334,Invites Contribution
subcode__encourages_participation,-0.4656517300627001,0.4656517300627001,Encourages Participation
subcode__proposes_process,-0.3754855792949316,0.3754855792949316,Proposes Process
subcode__expertise_complementarity,-0.3541460551972055,0.3541460551972055,Expertise Complementarity
subcode__returns_to_earlier_idea,0.31521458481391673,0.31521458481391673,Returns To Earlier Idea
subcode__asks_rhetorical_question,0.25952744497337044,0.25952744497337044,Asks Rhetorical Question
subcode__manages_tension,0.23537098730463374,0.23537098730463374,Manages Tension
subcode__attributes_to_other,0.22075368862526448,0.22075368862526448,Attributes To Other
subcode__proposes_next_step,-0.21689630419355246,0.21689630419355246,Proposes Next Step
subcode__joint_framing,-0.2144025343841246,0.2144025343841246,Joint Framing
subcode__method_complementarity,-0.1859092744145958,0.1859092744145958,Method Complementarity
subcode__asks_for_elaboration,0.1828523801424454,0.1828523801424454,Asks For Elaboration
subcode__compares_options,0.1807385891581045,0.1807385891581045,Compares Options
subcode__funding_priority_alignment,0.16977012379748913,0.16977012379748913,Funding Priority Alignment
