feature,coef,abs_coef,label
subcode__proposes_process,-0.9970349735517301,0.9970349735517301,Proposes Process
subcode__ambiguous,0.5564272648341069,0.5564272648341069,Ambiguous
subcode__setback_response_accepts_builds,0.4929117305483304,0.4929117305483304,Setback Response Accepts Builds
subcode__individual_framing,0.46772967785749475,0.46772967785749475,Individual Framing
subcode__shares_personal_experience,-0.4412283333760431,0.4412283333760431,Shares Personal Experience
subcode__checks_consensus,-0.43149498456083657,0.43149498456083657,Checks Consensus
subcode__shares_data_or_findings,0.42181640897084266,0.42181640897084266,Shares Data Or Findings
subcode__explicit_role_assignment,0.4138876407563472,0.4138876407563472,Explicit Role Assignment
subcode__field_significance,-0.4125291598993401,0.4125291598993401,Field Significance
subcode__shares_domain_knowledge,-0.38283391253701426,0.38283391253701426,Shares Domain Knowledge
subcode__expresses_appreciation,-0.3566214548825266,0.3566214548825266,Expresses Appreciation
subcode__funding_priority_alignment,-0.301457223012933,0.301457223012933,Funding Priority Alignment
subcode__vague_future_reference,0.2828169916132065,0.2828169916132065,Vague Future Reference
subcode__critiques_or_challenges,0.2626162855615773,0.2626162855615773,Critiques Or Challenges
subcode__attributes_to_other,0.2503864584361385,0.2503864584361385,Attributes To Other
