session,speaker_a,speaker_b,n_links,example_builder,example_move,example_text,builds_on_speaker,builds_on_text,how_resolved
NES_S4,Charles McCrory,Katie Knowles,6,Katie Knowles,synthesizes_contributions,"taking C1 to C2, C3, C4, like small things",Charles McCrory,build a little bit on what was said... Adam and Carlos are right on,fallback — most recent prior idea
NES_S4,Charles McCrory,Marta Hatzell,5,Marta Hatzell,critiques_or_challenges,"looking at like direct nitrogen oxidation, so you can skip the nitrogen to ammonia I'm hesitant to say that it's the end-all molecule for all applications.",Charles McCrory,doing that as low temperature ammonia synthesis... low temperature hydrogenation for distributed ammonia,matched an idea on the table
NES_S4,Adam Holewinski,Michael Nippe,3,Adam Holewinski,extends_existing_idea,I'd be interested in building on that one a little bit,Michael Nippe,we could be talking about electrochemical approaches to chiral synthesis,matched an idea on the table
NES_S4,Adam Holewinski,Charles McCrory,2,Adam Holewinski,raises_concern,since no single commodity chemical is gonna make a giant dent... the number was still small,Charles McCrory,doing that as low temperature ammonia synthesis... low temperature hydrogenation for distributed ammonia,matched an idea on the table
NES_S4,Adam Holewinski,Chong Liu,2,Adam Holewinski,synthesizes_contributions,So is the wish list chemistry methane to methanol at ambient conditions where you could do it at a distributed scale? Would that be fair to characterize that?,Chong Liu,another thing I want to point out is where to get those methane. The flaring happens... because it's not economical enough to build gas pipeline,explanation named the person
NES_S4,Adam Holewinski,Daniel Yawitz,2,Adam Holewinski,raises_concern,"if the question is we really need to, negative emission is the only answer, then the beyond CO2 conversation we're having here is kind of moot",Daniel Yawitz,"tying it back to the negative emissions goal, I've been trying to kind of bucket what I'm hearing",matched an idea on the table
MZT_S5,Matt Erdman,Pilar Fernandez,8,Matt Erdman,redirects_idea,What's the actionable outcome of surveillance?,Pilar Fernandez,how we achieve sustainability of the surveillance system guide more like actually empirically informed surveillance... use a lot of information from just endemic diseases,matched an idea on the table
MZT_S5,Ana Bento,Pilar Fernandez,5,Pilar Fernandez,extends_existing_idea,you're gonna have dead ends. Um and there you're gonna have some uh hosts that are not going to contribute to onward transmission.,Ana Bento,susceptibility is kind of like a necessary condition for a transmission chain to occur.,fallback — most recent prior idea
MZT_S5,Pilar Fernandez,Troy Clavell Sutton,4,Troy Clavell Sutton,extends_existing_idea,if you can sample where that net migration is where people are moving from rural environments into urban environments... That would be where you would want to target at least in my opinion an intervention strategy.,Pilar Fernandez,"if you think about uh just that component of human displacement and migration that it's happening more frequently with climate change for example, what is the relationship between where those events might happen with a higher probability but where we might actually have an outbreak.",explanation named the person
MZT_S5,Chuck Lewis,Pilar Fernandez,3,Chuck Lewis,returns_to_earlier_idea,I think with the behavior you also have to include the pathogen behavior as well and mode of transmission. it ties back to your your example with rabies and being a dead end in a horse.,Pilar Fernandez,you're gonna have dead ends. Um and there you're gonna have some uh hosts that are not going to contribute to onward transmission.,matched an idea on the table
MZT_S5,Matt Hopken,Pilar Fernandez,3,Pilar Fernandez,extends_existing_idea,"And also I feel I'm always thinking about where do you do the sampling, right?",Matt Hopken,"another component of a transmission chain is um opportunity which susceptibility plays into that, but also the overlapping of the pathogen, vector, and host in both space and time.",matched an idea on the table
MZT_S5,Ana Bento,Chuck Lewis,2,Chuck Lewis,extends_existing_idea,I think with the behavior you also have to include the pathogen behavior as well and mode of transmission. it ties back to your your example with rabies and being a dead end in a horse.,Ana Bento,"So behavior is one, right? Behavior behavior allows for that opportunity that Matt uh kind of very well described.",matched an idea on the table
MND_S5,Iliyan Iliev,Tom Mansell,4,Iliyan Iliev,raises_concern,"there is a co-founder effect here, right? Because the bacteria and the fungi that have actually siderophores and are very well adapted to expand very quickly, they're the one also that produce the toxins.",Tom Mansell,studies that models that involved soluble or insoluble chelators like EDTA right is a thing that's in food right and it preserves food by chelating ions. Is that something that could be linked to changes in gut permeability,explanation named the person
MND_S5,Erin Longbrake,Faranak Fattahi,3,Erin Longbrake,synthesizes_contributions,"So to go back to Faranak's question, like what would be a model system to figure out if and how bacteria microbes impact let's just stick with the gut epithelial barrier this seems like an iterative screening process where you have a model system and you iteratively just screen",Faranak Fattahi,are we in the phase where we should be screening for a larger set of molecules or metabolites or factors that could be coming from the microbiome.,explanation named the person
MND_S5,Erin Longbrake,Iliyan Iliev,3,Erin Longbrake,critiques_or_challenges,"Would the molecule need to be appropriately sized though? I mean, in a sense, if you have inflammatory mediators... they could impact the endothelium and create leakiness",Iliyan Iliev,how big molecules can go depending on your genetic defect.,matched an idea on the table
MND_S5,Erin Longbrake,Rosa Krajmalnik-Brown,3,Erin Longbrake,synthesizes_contributions,it sounds plausible that certain microbes either make small metabolites that impact the barrier or make proteases... But certainly microbes also impact immune cells one question could be whether it's a direct effect of microbes and microbial products or whether the immune cells serve as a mediator.,Rosa Krajmalnik-Brown,the brain barrier for me also it's distant... but I feel that the gut permeability is still a very important question that it's not completely resolved either.,matched an idea on the table
MND_S5,Iliyan Iliev,Rosa Krajmalnik-Brown,3,Iliyan Iliev,extends_existing_idea,how big molecules can go depending on your genetic defect.,Rosa Krajmalnik-Brown,"we have people that are focused on the chemicals, organoids, the gut, the brain, immunology.",fallback — most recent prior idea
MND_S5,Andrew Feig,Iliyan Iliev,2,Andrew Feig,connects_methods,so that would allow you to at least isolate that barrier separate from the intestinal barrier.,Iliyan Iliev,how big molecules can go depending on your genetic defect.,explanation named the person
CMC_S11,Davide Donadio,Rigoberto Hernandez,5,Rigoberto Hernandez,synthesizes_contributions,"how big does a system have to be to have this sort of self-organization... to create signals based on its collective behavior rather than on individual agents for Gulcin's favorite question, what is self, you know, in order to know self, how big is it when there'll be enough signal to be able to recognize itself Does size matter? Simple question.",Davide Donadio,if we can think of ways of porting non-equilibrium molecular dynamics methods... to the mesoscale porting non-equilibrium molecular dynamics methods... to probe self-organization at the cellular relevant scales,matched an idea on the table
CMC_S11,Gulcin Pekkurnaz,Wenjing Wang,5,Gulcin Pekkurnaz,extends_existing_idea,"But then that brings us to unknown unknowns. So we are, if we say signal is something that triggers response, so we're limited with what we can identify as response.",Wenjing Wang,how much room for mistakes is allowed in this process... is there a way that we can perturb this certain process... to see what would be required or necessary,explanation named the person
CMC_S11,Gulcin Pekkurnaz,Stefano Di Talia,3,Stefano Di Talia,returns_to_earlier_idea,what might seem self-organized when you do an experiment looking at one signal might not be self-organized when you image many signals together So I guess it gets a bit to some of the questions that was raised before by Gulcin of how do you even call a signal self-organized.,Gulcin Pekkurnaz,"We talked about molecular crowding... bioelectrical signals, chemical gradients... mechanical, so it should be both if the cell shape is changing, that itself is going to have impact and it's going to create some kind of signal",explanation named the person
