conf,session,speaker,move_name,names_anyone,names_other,named_person,rule_fired,explanation
2020NES,2020_11_05_NES_S1,Kristen Schell,raises_concern,True,False,,nearest_prior,Kristen raises a practical concern about the energy requirements of deploying DAC modularly in cities.
2020NES,2020_11_05_NES_S1,Gary Moore,combines_ideas,True,False,,on_table_idea,Gary proposes combining direct air capture with solar fuels and artificial photosynthesis.
2020NES,2020_11_05_NES_S1,Gary Moore,extends_existing_idea,True,True,Alissa Park,named_speaker,Gary builds on Alissa's location prompt by suggesting a decentralized approach.
2020NES,2020_11_05_NES_S1,Christopher Gorski,critiques_or_challenges,False,False,,on_table_idea,"He challenges the utility of converting CO2 into value-added chemicals like plastics, arguing it won't make a dent in global emissions."
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,True,True,Christopher Gorski,named_speaker,Alissa builds on Christopher's idea by providing a concrete example of converting CO2 into solid carbon for easy sequestration.
2020NES,2020_11_05_NES_S1,Emily Ryan,critiques_or_challenges,True,False,,on_table_idea,Emily challenges the necessity of global-scale simulations.
2020NES,2020_11_05_NES_S1,Emily Ryan,critiques_or_challenges,True,True,Alissa Park,named_speaker,Emily challenges Alissa's local focus by pointing back to the prompt's wording.
2020NES,2020_11_05_NES_S1,Alissa Park,resolves_contradiction,True,False,,on_table_idea,Alissa acknowledges the global aspect but pivots back to why local simulation is the immediate need.
2020NES,2020_11_05_NES_S1,Emily Ryan,synthesizes_contributions,True,True,Alissa Park,named_speaker,Emily synthesizes Alissa's explanation into a concise concept (DAC farm placement).
2020NES,2020_11_05_NES_S1,Kristen Schell,raises_concern,True,False,,on_table_idea,Kristen raises a concern about the global impacts of distributed DAC.
2020NES,2020_11_05_NES_S1,Emily Ryan,synthesizes_contributions,False,False,,on_table_idea,She synthesizes the preceding conversation into two clear paths.
2020NES,2020_11_05_NES_S1,Kristen Schell,raises_concern,False,False,,on_table_idea,She immediately raises a practical concern about data availability.
2020NES,2020_11_05_NES_S1,Rob Coridan,combines_ideas,False,False,,on_table_idea,He combines the need for data with the existing abundance of emission data.
2020NES,2020_11_05_NES_S1,Emily Ryan,critiques_or_challenges,True,True,Rob Coridan,named_speaker,Emily challenges the physical equivalence of Rob's proposed reverse process.
2020NES,2020_11_05_NES_S1,Emily Ryan,raises_concern,True,False,,nearest_prior,Emily raises a concern about how technology-specific the siting problem is.
2020NES,2020_11_05_NES_S1,Emily Ryan,extends_existing_idea,True,False,,on_table_idea,Emily extends the discussion by drawing an analogy to wind farm siting.
2020NES,2020_11_05_NES_S1,Rob Coridan,critiques_or_challenges,True,False,,on_table_idea,Rob introduces a minor challenge or nuance to the previous point.
2020NES,2020_11_05_NES_S1,Alissa Park,synthesizes_contributions,True,True,Valentina Prigiobbe,named_speaker,Alissa synthesizes Valentina's point for the group.
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,False,False,,on_table_idea,She builds on the wetlands idea by asking about the impact of lowering local CO2.
2020NES,2020_11_05_NES_S1,Kristen Schell,extends_existing_idea,False,False,,nearest_prior,She extends the discussion by introducing the challenge of variable renewable power integration.
2020NES,2020_11_05_NES_S1,Li-Chiang Lin,extends_existing_idea,False,False,,on_table_idea,He extends his point about how diffusion impacts local concentration.
2020NES,2020_11_05_NES_S1,George Shields,critiques_or_challenges,True,False,,on_table_idea,George challenges the concern by suggesting wind dynamics will make diffusion fast enough.
2020NES,2020_11_05_NES_S1,Ashleigh Baber,extends_existing_idea,False,False,,on_table_idea,She extends the discussion to consider the physical footprint of the technology.
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,False,False,,on_table_idea,She connects the filter idea back to the earlier discussion about air movement and diffusion.
2020NES,2020_11_05_NES_S1,Ashleigh Baber,extends_existing_idea,False,False,,on_table_idea,She extends the idea by suggesting a thermally activated process.
