link to video,timestamp,speaker,transcript,annotations,c1,c1-vf,c1-ep,c2,c2-vf,c2-ep,c3,c3-vf,c3-ep,c4,c4-vf,c4-ep,notes1,notes2
https://www.dropbox.com/scl/fi/a16giojo304sdziwx8381/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk6.mp4?rlkey=8ks7urcb6t6ml32hqgkm0sxp8&st=68smmls1&dl=0,00:28-00:44,Nandita Garud,Okay. So I kind of just took us uh scribe was a scribe and uh I wrote down what I think most of what everybody said uh trying to see if I can increase the font.,"[{'acknowledge contribution': 'Nandita acknowledges that she took on the role of scribe, recognizing her own contribution to the group.'}]",acknowledge contribution,Agree,,,,,,,,,,,,
,03:00-03:34,Mark Mimee,"And also to get out the sort of species versus metabolites versus other things. I think it's like the question of um at what level should we measure the microbiome to learn about it? Is it at the species level? Is it at the genetic level? Is it at the transcriptomic level, the metabolomic level? it's kind of similar studies that are done in multiomics and you know most eukaryotic systems of like what do we measure and how what do we learn from that and I think we're still at the state where we don't really know exactly what what.","[{'explain or define term or concept': 'The speaker is explaining the different levels at which the microbiome can be measured (species, genetic, transcriptomic, metabolomic) to understand it better, which is a conceptual clarification.'}, 

{'present new idea': 'The speaker presents the idea of considering different levels of microbiome measurement (species, genetic, transcriptomic, metabolomic) to understand it better, drawing an analogy to multiomics studies in eukaryotic systems, which is a novel approach in the context of the discussion.'}]",explain or define term or concept,Not sure,it could be true; since he is spelling out the details of the questions he proposed,present new idea,Not sure,it is hard to judge whether it is a "new" idea or expansion of an idea that's been proposed,,,,,,,I still think my code is applicable; but maybe these codes can be grouped together since it is very difficult to judge and delineate? ,
https://www.dropbox.com/scl/fi/ddbw29d76zxhwxydupncq/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk5.mp4?rlkey=ssfqua0x94t21vzqj246erime&st=thaxgy9r&dl=0,[07:44-08:47],Dr. Ali Keshavarzian,"The study that you uh mentioned and is published red shows any long term may not be the case. The very two very good studies in uh infants that they use probiotics to modify atopic march show that is extremely effective but long term microbiota community was not changed. But maybe that we don't need to have a long-term graphment. We may need to just break the cycle, change the microbiota in a transient way to then get the beneficial uh uh long-term functional effect. What do you guys think? Do you think that we need to push hard to get a long-term graphment or just a transient one?","[{'provide supporting evidence': 'The speaker references a published study to support the idea that long-term engraftment may not be necessary for beneficial effects, building on the prior discussion about engraftment of genetically engineered microbes.', 

'propose decision': 'The speaker proposes the decision of whether long-term engraftment is necessary or if a transient change is sufficient for beneficial effects, following a discussion about genetically engineered microbes and engraftment.', 

'ask clarifying question': 'The speaker asks the group what they think about the need for long-term engraftment versus a transient change, seeking input on the proposed decision.'}]",provide supporting evidence,Agree,yeah that's true; i missed that part when annotating but he did mention a published paper,propose decision,Not sure,propose decision is defined as "suggests a concrete choice for the group" i guess that is also applicable; but im leaning towards "present new idea" since its more a new approach he's suggesting,ask clarifying question,Agree,,,,,I will add the code "provide concrete evidence" since i missed it; Then I am thinking about how to make "propose decision" and "propose new idea" more distinct and mutually exclusive,
,[01:00-01:23],Robin Voigt-Zuwala,"Well, that's right. There was one thing somewhere on the the Silog website where it was talking about where wearable biosensors. I think that's where something like this could come in super, you know, be super helpful in understanding these circadian rhythms and just maybe absolute levels in different populations of different metabolites and that could shed light on some of these issues.","{'expand on existing idea': 'This utterance expands on the discussion of diurnal variation of the microbiota and host circadian rhythms, building on the idea that circadian rhythms have to be considered in any design of a study by suggesting wearable biosensors could be helpful.', 

'express enthusiasm': 'The speaker expresses enthusiasm for the potential of wearable biosensors to help understand circadian rhythms and metabolite levels, indicating excitement about this approach.', 

'provide supporting evidence': 'The speaker mentions the Silog website as a source of information about wearable biosensors, providing a reference to support the idea that such technology exists and is being developed.'}",expand on existing idea,Not sure,hard for me to judge whether its a complete new idea or expansion of existing ones since I only watched this segment,express enthusiasm,Agree,since she used words like "super helpful" i guess it is enthusiasm,provide supporting evidence,Agree,true she mentioned the website; and I missed that ,,,,i will add "provide evidence" and "express enthusiasm" ,
,[06:14-07:05],Mark Mimee,"Um and then I guess the last point I want to make was a lot of this stuff that we've been talking about is everything that exists within the realm of normal biology. Uh thinking that like, oh short chain fatty acids or bile acid metabolites are things that the microbiome does to interact with the host. Um but we could also think of using the microbiome as a drug delivery agent where if we can engineer these bugs to make molecules that aren't normally found in humans but could have therapeutic value, that could be another means through which we can engineer the microbiome and again that gets you out of the realm of trying to understand this complex ecosystem and interspecies interaction, but rather just thinking of more traditional drug design where we have a molecule, we want to deliver it and we're going to use bugs in order to make this molecule in situ and that might have some beneficial effect.","[{'expand on existing idea': 'Mark is expanding on the idea of genetic engineering of microbes, which was brought up by Rosa, by suggesting that the microbiome could be used as a drug delivery agent.'}, 

{'present new idea': 'Mark presents a new idea of using the microbiome as a drug delivery agent to produce molecules not normally found in humans but with therapeutic value.'}]",expand on existing idea,Agree,"again, hard to judge without domain expertise (on knowing what is really ""new approach"") and previous context",present new idea,Agree,,,,,,,,How can we delineate "expand idea" and "present new idea" better? or should we?,
https://www.dropbox.com/scl/fi/ppnl7h0uuyyn7ppvzkikv/botB2_2021_06_10_12_35_06_chunk2.mp4?rlkey=gst6896n95j5q28oyrmg1rw53&st=3dntqydd&dl=0,08:12-09:11,Dimitar Sasselov,"Um there is a lot to unpack there. So uh maybe we can take it one step at a time. Um like should we start with the solvent issue, water versus other solvents that could be very out of the box uh way to do it. And of course then there is the connection to the geo uh which uh a lot of you are very interested in.","{'expand on existing idea': ""Dimitar is building on Aaron's points by suggesting they address them one by one."", 

'propose decision': 'Dimitar proposes to start with the solvent issue, which is a concrete choice for the group to discuss first.', 

'encourage particpatioin': 'Dimitar is encouraging the group to discuss the connection to the geochemistry, acknowledging their interest in it.'}",expand on existing idea,Agree,after i watched the previous Aaron's speech i AGREE. ,propose decision,Agree,,encourage particpatioin,Agree,,,,,,
,03:12-04:45,Dimitar Sasselov,"I wrote something myself and just to break the ice, I'll tell you what it is. It's a little bit provocative. So my kind of question for this is if if the main goal of this dialogue is how to find and you know, how to go about finding if there is life beyond earth, why is this topic about the necessary and sufficient conditions for life even relevant at all? Like why even discuss this? So I think Tim Lyons kind of started answering that question, but you know, we have to think about, you know, what are the connections? Maybe that's actually about the complementarity between exoplanet research and origin of life science.","{'present new idea': 'The speaker introduces a provocative question about the relevance of discussing necessary and sufficient conditions for life when the main goal is to find life beyond Earth, which is a novel idea not previously discussed.', 

'ask clarifying question': 'The speaker poses a question about why discussing the necessary and sufficient conditions for life is relevant to finding life beyond Earth, seeking clarification on the connection between these topics.', 

'expand on existing idea': ""The speaker builds upon Tim Lyons' initial answer by suggesting that the connection might be about the complementarity between exoplanet research and origin of life science, expanding on the idea of relevance."", 

'express enthusiasm': 'The speaker expresses enthusiasm by saying that the question is provocative and that it is important to think about the connections between exoplanet research and origin of life science.'}",present new idea,Agree,,ask clarifying question,Agree,,expand on existing idea,Disagree,watched some previous segmets too and still do not think he expanded on previous ideas; nor found what was referenced in AI explanations,express enthusiasm,Agree,didn't catch the nuance when I watched; but looking at the explanations I agree,"is a provocative question considered as a ""new idea""? if not, how might we improve codebook to distinguish them?",
,04:45-08:08,Aaron Engelhart,"So I have just a few bullet points and um honestly this might be helpful or will be helpful for me because I think that um and uh the the way that I think about this I know isn't the way that you think about it. So just getting into it quickly the the few things I had written down is that um you know, this this kind of comes directly from the questions but water, you know, we think of it as so central to life, but like it's worth considering other solvents, you know, like if we're thinking about Titan or methane or other things like that and I think that per Dimitar's comment about um, you know, how is this even relevant to life on earth? I think that the other solvent question could be relevant to life on earth because, you know, from some of uh for instance like Nick Hud's work, uh there's been work on kind of hypersaline environments and alternative solvents that come from a lot of solute from an aqueous solution that when you concentrate it, you have something that's still liquid that you can do interesting chemistry in. Um the third and there's five here just so you know where I am on this. um is uh, you know, thinking about prebiotic chemistry. I think we think of it as something that happened and then there was life, but I think that it's worth considering it as we I think of these questions as kind of a progress bar for the emergence of life, you know, we go from low complexity to kind of what Dimitar was talking about higher complexity. Um and I think that that might kind of inform some of our thinking about, you know, we're talking about with exoplanets. Uh and then finally the last two are kind of related. Um there's going to obviously be some geochemical constraints on what kind of protobiomolecules emerge and that's going to vary from body to body. Um and this is going to have uh, you know, impacts from a chemical perspective in terms of, you know, what surfaces are presented and what kind of chemistry you can do on those surfaces as well as and this kind of ties into the geochemistry, um, you know, temperature and pressure. I think that there are environments that are close enough to an earthlike environment where the chemistry could be quite similar, you know, like Mars, you're at, you know, a few millibar. I think most of the same stuff can be done there, but if you're thinking about a high pressure environment, that can have pretty profound effects on folding of biopolymers and there's been experiments done with that. So those are the few things that came to mind for me. Um and uh I'm definitely interested in hearing uh what everyone else has to say about this.","{'present new idea': 'The speaker introduces the idea of considering solvents other than water, such as methane on Titan, for the emergence of life.', 

'expand on existing idea': ""The speaker expands on Dimitar's question about the relevance of necessary and sufficient conditions for life by suggesting that alternative solvents could be relevant to life on Earth, referencing Nick Hud's work on hypersaline environments."", 

'provide supporting evidence': 'The speaker provides supporting evidence for the impact of temperature and pressure on the folding of biopolymers, mentioning experiments that have been done in high-pressure environments.', 

'encourage particpatioin': 'The speaker ends by expressing interest in hearing what everyone else has to say, encouraging others to participate in the discussion.'}",present new idea,Agree,,expand on existing idea,Agree,,provide supporting evidence,Agree,,encourage particpatioin,Agree,,i would add "expand idea" and "propose new idea",
https://www.dropbox.com/scl/fi/q3btbxpqehf4ufr6in8cc/botB2_2021_06_10_12_35_06_chunk8.mp4?rlkey=9q8ca9qwts2tnwci27ais1her&st=7tza7s62&dl=0,00:01-00:25,Laurie Barge,It's a very big topic. I'm actually not sure. Maybe how can we best combine laboratory modeling and observational approaches to understand the time scales of prebiotic chemistry and emergence of life.,"{'propose decision': 'Laurie proposes a way to combine laboratory modeling and observational approaches to understand the time scales of prebiotic chemistry and emergence of life, which is a concrete choice for the group to consider given the discussion about time scales and the need to connect different fields.', 

'present new idea': 'Laurie introduces a novel concept of combining laboratory modeling and observational approaches to understand the time scales of prebiotic chemistry and emergence of life, which has not been explicitly mentioned before in this specific way.'}",propose decision,Disagree,i don't think it is a decision that she is proposing; more like a question to consider;  should that be considered as a "choice"? ,present new idea,Not sure,it could be a brand new idea; cannot verify without prior context,,,,,,,"""propose decision"" is defined as ""suggests a concrete choice for the group""; should a 'question to answer' be considered as a 'choice'? or should this only focus on 'actions'",
,03:03-03:39,Laurie Barge,"What if we did like, you know, there's if there's a Venn diagram here, one is the conditions because we're we're really trying to answer, could life emerge on other exoplanets, right? So could could exoplanet or planetary science people make a list of which parameters are most variable between different planets because that would allow you to say which planet could or could not do a thing. And then the chemists could make which parameters are most effective in changing the way a chemical reaction turns out because you know certain ones you change them in the lab it is not that big of a deal. Other ones you change it, it changes everything and where that overlap is could be, you know, a shorter list where we could focus in the lab. Like if for example it turned out that massive differences in the amount of methane in the atmosphere are going to exist, but methane also really controls all of organic chemistry. That would be a thing to focus on. But then other things like maybe wouldn't.","[{'present new idea': ""Laurie introduces a novel approach of using a Venn diagram to identify key parameters for prebiotic chemistry on exoplanets, which hasn't been explicitly suggested before.""}, 

{'propose decision': 'Laurie suggests that exoplanet scientists should list variable parameters between planets and chemists should list parameters that affect chemical reactions, and then focus on the overlap, proposing a concrete choice for the group to narrow their focus.'}]",propose decision,Agree,,present new idea,Agree,,,,,,,,i would add "present new idea" since her proposed actions are a new "approach".,
