video,timestamp,speaker,c1,c1-ep,c2,c2-ep,c3,c3-ep,c4,c4-ep,notes
https://www.dropbox.com/scl/fi/a16giojo304sdziwx8381/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk6.mp4?rlkey=8ks7urcb6t6ml32hqgkm0sxp8&st=68smmls1&dl=0,00:28-00:44,Nandita Garud,acknowledge contribution,"Using what looks likes meeting notes on Google Doc, she confirms she has everyone's ideas on it",express enthusiasm,"While explaining she has everyone's ideas written down, she says it in an affirming/positive tone.",,,,,
,01:01-02:30,Nandita Garud,present new idea,She talks about the microbiome and the affects it has on the female body including pregnancy timing,present new idea,She mentions linking the hormone responses during pregnancy higher.,,,,,"She talks about the general overview of the microbiome of the female body during pregnancy. While what seems like an overview of the idea, she expresses certain concepts that could be advanced further into the meeting. While this seems like it could have been coded ""Supporting evidence"" she didn't have concrete data to back up her reasoning (in the form of a study), besides what is probably the scientific truth. This is also relatively within the first minute of the meeting, so no new idea can be built on upon this point, yet."
,03:00-03:34,Mark Mimee,ask clarifying question,He states: At what level of microbiome should we understand it at? ,expand on existing idea,By asking this question Mark expands on Nandita's original thoughts and reaffirms the question of the group,,,,,
https://www.dropbox.com/scl/fi/ddbw29d76zxhwxydupncq/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk5.mp4?rlkey=ssfqua0x94t21vzqj246erime&st=thaxgy9r&dl=0,[07:44-08:47],Dr. Ali Keshavarzian,explain or define term or concept,Talks about the engrafment of the new bacteria / infants that long-term not much change despite effective.,ask clarifying question,Asks if they should push for a long-term engrafment or just a transient version?,expand on existing idea,"He said that one of the others presenters showed that an idea may not be the case, which led to his clarifying question.",,,
,[01:00-01:23],Robin Voigt-Zuwala,expand on existing idea,Explains the idea that a website mentioned wearable biosensors which could help shed light on the issues at large.,express enthusiasm,Talking about how this technology ... that they found such tech.,,,,,
,[06:14-07:05],Mark Mimee,expand on existing idea,Using microbiome as a a drug delivery agent.  ,explain or define term or concept,"Defines the purpose of the drug delivery agent, explaining how they would engineer the microbiome.",,,express humor,"Mark says he can do it, yet it goes back to his first point of focusing on what the output of the project is.",
https://www.dropbox.com/scl/fi/ppnl7h0uuyyn7ppvzkikv/botB2_2021_06_10_12_35_06_chunk2.mp4?rlkey=gst6896n95j5q28oyrmg1rw53&st=3dntqydd&dl=0,08:12-09:11,Dimitar Sasselov,encourage particpatioin,"Towards the later end of the meeting, so he suggests they all digest the information stated in the meeting. Suggests everyone jumps in and talk out ideas, or mention in the Zoom chat.",,,,,,,
,03:12-04:45,Dimitar Sasselov,present new idea,Uses an ice breaker to start conversation between all of the researchers about finding life beyond Earth.,express enthusiasm,Acknowledges Sarah and how he was on her PhD commitee a few years ago.,acknowledge contribution,Says that Tim Lyons started answering the topic.,expand on existing idea,"Goes on to express the idea, or the question as to why talk about this idea, or why is it relevant?",
,04:45-08:08,Aaron Engelhart,express humor,"Because he and likely others are chemists, they would want to start on the chemistry perspective of the discussion, Aaron immediately jumps in when Dimitar brings up that point",expand on existing idea,Talks about Nicod's work on the hypersalient environments and the alternative solvents.,explain or define term or concept,"talks about the concept of prebiotic chemistry where it was the time-period before life, or the progression of emergence of life.",expand on existing idea,"Says that there may be within the geochemistry, there's planets close to Earth's structure like Mars to where some of the same stuff can be done there.",
https://www.dropbox.com/scl/fi/q3btbxpqehf4ufr6in8cc/botB2_2021_06_10_12_35_06_chunk8.mp4?rlkey=9q8ca9qwts2tnwci27ais1her&st=7tza7s62&dl=0,00:01-00:25,Laurie Barge,ask clarifying question,"Talks about the grand scale of the topic, and asks how to use lab modeling and observations to observe prebiotic aspects.",encourage particpatioin,"Based on her proposed topic, Laurie expresses desire to have participants chime in with their solutions.",,,,,
,03:03-03:39,Laurie Barge,present new idea,Says chemist could figure out parameters are most effective with chemical reaction (overlap) while planetary science people make a list of parameters most variable between planets.,explain or define term or concept,uses the example of different methane amounts in the atmosphere. ,,,,,
,00:25-00:59,Dimitar Sasselov,offer constructive criticism,Acknowledges idea but asks if chemists talk to geochemists/physicists and try some idea in lab/model and see what works.,expand on existing idea,Builds on the previous speaker who spoke just before Dimitar.,,,,,
https://www.dropbox.com/scl/fi/bq1bnob1477mlaw8dqg4h/bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45_chunk2.mp4?rlkey=zdcgy2u4puy5lmnjkah469eua&st=18dl9dtf&dl=0,01:44-02:18,Natasha Batalha,provide supporting evidence,Natasha talks about using statistical framework to be able to focus on the base leveled questions. ,ask clarifying question,She says she doesn't know if these types of questions would help answer the diversity of the atmosphere,,,,,When Natasha stated what she said around the 02:02 timestamp about the types of questions ask. It was more of a statement than a question that was anticipating clarification.
,09:16-10:00,Lisa Kaltenegger,reject idea,"Lisa says Daniel was playing Devil's advocate, so she addresses the alternative perspective of the discussion",express agreement,Yet she agrees that there's a need for both perspectives ,,,,,
,08:32-09:15,Daniel Apai,offer constructive criticism,"Agrees with Nicole, but presents counterpoint about Viking lenders that went to Mars, which cut excitement out of Mars exploration, leading to no public interest.",,,,,,,
https://www.dropbox.com/scl/fi/gosrdi972gga3rzd83a91/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk1.mp4?rlkey=sg58lj24twa1dscnpoy1or5im&st=20pe9jmw&dl=0,06:35-07:05,Daniel Apai (Univ Arizona),assign task,Says that someone must record the discussion and report back to the main room,assign task,"Says that a lot of the questions goes beyond the group's expertise, suggests to take notes and seek help from experts outside of people in this group call.",,,,,
,05:04-05:25,Daniel Apai (Univ Arizona),express enthusiasm,"Daniel gives a more in-depth introduction about himself, compared to the earlier introduction given earlier in the recording.",,,,,,,
,06:14-06:35,Daniel Apai (Univ Arizona),assign task,Says it's the second day (of this group work) so tells group to come up with hypotheses that could be tested.,expand on existing idea,Recalls to yesterday about the similar group settings.,,,,,
https://www.dropbox.com/scl/fi/usyppxmxkydac1kgvuphv/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk5.mp4?rlkey=0baaakhix0bipdffpyxcsegh9&st=lnhy3vy6&dl=0,02:27-02:43,Daniel Apai,provide supporting evidence,Says there were detections of directly aurora radio emission channeled by magnetic field of brown dwarfs (Jupiter sized).,,,,,,,
,00:18-01:20,SMADAR NAOZ,expand on existing idea,Uses Kepler 444 for analytic criteria on hiding companion ,explain or define term or concept,talks about multi-planets (rocky) and detecting whether or not its good/bad for life.,acknowledge contribution,"Says they can come back to this idea, as it is a multi-step process.",,,
,08:14-09:17,Coco Zhang,expand on existing idea,"Uses Leslie's ideas and asks about doing a hypothesis that involves a correlation between the final product and the formation stage of water content in the inner world, using numerical simulations. ",,,,,,,
